tid,name,num,ts,grade,lng,lat,dist_km
3319901,艾涛,2622,202608301200,TS,165.8,31.1,4417.3
3319901,艾涛,2622,202608301500,TS,166.3,31.3,4466.1
3319901,艾涛,2622,202608301800,TS,166.9,31.7,4525.6
3314447,艾莎尼,2621,202608240000,TS,137.2,15.2,2327.0
3314447,艾莎尼,2621,202608240300,TS,137.5,15.4,2332.4
3314447,艾莎尼,2621,202608240600,TS,138.1,16,2330.0
3314447,艾莎尼,2621,202608240900,TS,138,16.3,2300.9
3314447,艾莎尼,2621,202608241200,TS,138,16.7,2272.1
3314447,艾莎尼,2621,202608241500,TS,138,17.1,2243.8
3314447,艾莎尼,2621,202608241800,TS,138,17.6,2209.1
3308554,简拉维,2620,202608220000,TD,124.9,25.4,689.2
3308554,简拉维,2620,202608220300,TD,124.7,25.9,636.4
3308554,简拉维,2620,202608220600,TS,124.5,26.2,599.5
3308554,简拉维,2620,202608220700,TS,124.4,26.3,584.9
3308554,简拉维,2620,202608220800,TS,124.3,26.3,577.9
3308554,简拉维,2620,202608220900,TS,124.3,26.3,577.9
3308554,简拉维,2620,202608221000,TS,124.2,26.3,570.9
3308554,简拉维,2620,202608221100,TS,124.1,26.3,564.0
3308554,简拉维,2620,202608221200,TS,124,26.3,557.2
3308554,简拉维,2620,202608221300,TS,123.8,26.2,552.0
3308554,简拉维,2620,202608221400,TS,123.6,26.2,539.2
3308554,简拉维,2620,202608221500,TS,123.4,26.1,535.4
3308554,简拉维,2620,202608221600,TS,123.2,26,532.5
3308554,简拉维,2620,202608221700,TS,123,25.9,530.6
3308554,简拉维,2620,202608221800,TS,122.8,25.9,520.1
3308554,简拉维,2620,202608221900,TS,122.7,25.9,515.1
3308554,简拉维,2620,202608222000,TS,122.6,25.9,510.1
3308554,简拉维,2620,202608222100,TS,122.4,25.8,510.5
3308554,简拉维,2620,202608222200,TS,122.3,25.8,506.1
3308554,简拉维,2620,202608222300,TS,122.3,25.8,506.1
3308554,简拉维,2620,202608230000,TS,122.3,25.8,506.1
3308554,简拉维,2620,202608230100,TS,122.3,25.8,506.1
3308554,简拉维,2620,202608230200,TS,122.3,25.8,506.1
3308554,简拉维,2620,202608230300,TS,122.2,25.8,501.8
3308554,简拉维,2620,202608230400,TS,122.2,25.7,511.8
3308554,简拉维,2620,202608230500,TS,122.1,25.7,507.8
3308554,简拉维,2620,202608230600,TS,122.1,25.7,507.8
3308554,简拉维,2620,202608230700,TS,122,25.7,503.9
3308554,简拉维,2620,202608230800,TS,121.9,25.6,510.5
3308554,简拉维,2620,202608230900,TS,121.2,25.4,511.0
3308554,简拉维,2620,202608231000,TS,121.2,25.4,511.0
3308554,简拉维,2620,202608231100,TS,121,25.3,517.6
3308554,简拉维,2620,202608231200,TS,120.6,25.2,522.4
3308554,简拉维,2620,202608231300,TS,120.2,24.7,574.5
3308554,简拉维,2620,202608231400,TS,120,24.5,596.1
3308554,简拉维,2620,202608231500,TD,119.9,24.3,618.3
3308554,简拉维,2620,202608231800,TD,119.3,24,654.4
3308554,简拉维,2620,202608232100,TD,119.1,24,656.4
3308554,简拉维,2620,202608240000,TD,118.9,24.4,615.2
3308554,简拉维,2620,202608240300,TS,118.9,24.7,582.4
3308554,简拉维,2620,202608240400,TS,118.9,24.8,571.4
3308554,简拉维,2620,202608240500,TS,118.8,24.9,562.3
3308554,简拉维,2620,202608240600,TS,118.9,25.1,538.7
3308554,简拉维,2620,202608240700,TD,118.8,25.2,529.7
3308554,简拉维,2620,202608240900,TD,118.7,25.3,520.9
3304364,紫檀,2619,202608190900,TD,113.4,19.6,1301.8
3304364,紫檀,2619,202608191200,TD,113.4,19.6,1301.8
3304364,紫檀,2619,202608191500,TD,111.9,19.6,1377.3
3304364,紫檀,2619,202608191800,TD,111.9,19.6,1377.3
3304364,紫檀,2619,202608192100,TD,111.4,19.6,1404.9
3304364,紫檀,2619,202608200000,TD,109.9,19.4,1510.9
3304364,紫檀,2619,202608200300,TD,109.9,19.5,1502.3
3304364,紫檀,2619,202608200600,TD,109.7,19.5,1514.8
3304364,紫檀,2619,202608200900,TD,109.5,19.7,1510.7
3304364,紫檀,2619,202608201200,TD,109.2,19.7,1530.0
3304364,紫檀,2619,202608201500,TD,109,19.8,1535.0
3304364,紫檀,2619,202608201800,TD,108.7,19.9,1547.0
3304364,紫檀,2619,202608202100,TD,108.4,20.3,1536.3
3304364,紫檀,2619,202608210000,TD,108.4,20.4,1528.6
3304364,紫檀,2619,202608210300,TD,108.4,20.5,1521.0
3304364,紫檀,2619,202608210600,TD,108.4,20.6,1513.4
3304364,紫檀,2619,202608210900,TS,108.4,20.6,1513.4
3304364,紫檀,2619,202608211000,TS,108.3,20.6,1520.5
3304364,紫檀,2619,202608211100,TS,108.4,20.7,1505.9
3304364,紫檀,2619,202608211200,TS,108.6,20.8,1484.2
3304364,紫檀,2619,202608211300,TS,108.7,20.9,1469.6
3304364,紫檀,2619,202608211400,TS,108.6,21,1469.3
3304364,紫檀,2619,202608211500,TS,108.7,21,1462.1
3304364,紫檀,2619,202608211600,TS,108.7,21,1462.1
3304364,紫檀,2619,202608211700,TS,108.7,21.1,1454.7
3304364,紫檀,2619,202608211800,TS,108.7,21.3,1439.9
3304364,紫檀,2619,202608211900,TS,108.6,21.4,1439.9
3304364,紫檀,2619,202608212000,TS,108.4,21.4,1454.5
3304364,紫檀,2619,202608212100,TS,108.4,21.4,1454.5
3304364,紫檀,2619,202608212200,TS,108.2,21.4,1469.3
3304364,紫檀,2619,202608212300,TS,108.2,21.4,1469.3
3304364,紫檀,2619,202608220000,TS,108.1,21.3,1483.8
3304364,紫檀,2619,202608220100,TS,108,21.3,1491.2
3304364,紫檀,2619,202608220200,TS,108,21.3,1491.2
3304364,紫檀,2619,202608220300,TS,108,21.2,1498.3
3304364,紫檀,2619,202608220400,TS,108,21.2,1498.3
3304364,紫檀,2619,202608220500,TS,108.1,21.2,1490.9
3304364,紫檀,2619,202608220600,TS,108.3,21.2,1476.2
3304364,紫檀,2619,202608220700,TS,108.4,21.2,1469.0
3304364,紫檀,2619,202608220800,TS,108.4,21.2,1469.0
3304364,紫檀,2619,202608220900,TS,108.4,21.2,1469.0
3304364,紫檀,2619,202608221000,TS,108.4,21.1,1476.3
3304364,紫檀,2619,202608221100,TS,108.4,21.1,1476.3
3304364,紫檀,2619,202608221200,TS,108.3,21.1,1483.5
3304364,紫檀,2619,202608221300,TS,108.3,21.1,1483.5
3304364,紫檀,2619,202608221400,TS,108.2,21.1,1490.8
3304364,紫檀,2619,202608221500,TS,108.2,21.1,1490.8
3304364,紫檀,2619,202608221600,TS,108.1,21.1,1498.1
3304364,紫檀,2619,202608221700,TS,108,21,1512.6
3304364,紫檀,2619,202608221800,TS,107.9,20.9,1527.2
3304364,紫檀,2619,202608221900,TS,107.9,20.9,1527.2
3304364,紫檀,2619,202608222000,TS,107.9,20.8,1534.4
3304364,紫檀,2619,202608222100,TS,107.8,20.7,1549.0
3304364,紫檀,2619,202608222200,TS,107.8,20.7,1549.0
3304364,紫檀,2619,202608222300,TS,107.8,20.7,1549.0
3304364,紫檀,2619,202608230000,TS,107.8,20.7,1549.0
3304364,紫檀,2619,202608230100,TS,107.8,20.7,1549.0
3304364,紫檀,2619,202608230200,TS,107.9,20.7,1541.7
3304364,紫檀,2619,202608230300,TS,108,20.7,1534.5
3304364,紫檀,2619,202608230400,TS,108.1,20.7,1527.3
3304364,紫檀,2619,202608230500,TS,108.1,20.7,1527.3
3304364,紫檀,2619,202608230600,TS,108.2,20.7,1520.1
3304364,紫檀,2619,202608230700,TS,108.3,20.7,1513.0
3304364,紫檀,2619,202608230800,TS,108.3,20.7,1513.0
3304364,紫檀,2619,202608230900,TS,108.1,20.6,1534.7
3304364,紫檀,2619,202608231000,TS,108,20.6,1541.9
3304364,紫檀,2619,202608231100,TS,107.9,20.6,1549.1
3304364,紫檀,2619,202608231200,TS,108.1,20.8,1519.9
3304364,紫檀,2619,202608231300,TS,108.1,20.6,1534.7
3304364,紫檀,2619,202608231400,TS,108.1,20.6,1534.7
3304364,紫檀,2619,202608231500,TS,108.1,20.5,1542.2
3304364,紫檀,2619,202608231600,TS,108.1,20.5,1542.2
3304364,紫檀,2619,202608231700,TS,108.1,20.4,1549.7
3304364,紫檀,2619,202608231800,TS,108,20.4,1556.8
3304364,紫檀,2619,202608231900,TS,107.9,20.5,1556.5
3304364,紫檀,2619,202608232000,TS,107.8,20.6,1556.3
3304364,紫檀,2619,202608232100,TS,107.7,20.5,1570.8
3304364,紫檀,2619,202608232200,TS,107.7,20.5,1570.8
